worker_id,gender,household_income,household_size,location_country,marital_status,year_of_birth,count,participation
8ae72ed02b7fb1bd06d0e49177bb330e,female,"$60,000-$74,999",4,US,married,1993,1,1
dfc9c8c1495a803ef1cb714d0f089e8e,male,"$40,000-$59,999",2,US,single,1995,1,1
556378df104a719c31de58417226b644,female,"$25,000-$39,999",1,US,single,1987,1,1
dc14264a9cb5cf716b9b9236fe7d2916,female,"$100,000 or more",4,US,married,1988,2,3
e089c781f8d852aa82e6fe4827e1301d,female,"$75,000-$99,999",5+,JP,single,1987,1,1
2af569da223c3c27d0becb456309e59f,female,"$60,000-$74,999",1,US,single,1981,1,1
e0ffb540964526b77a5f4f1282380815,male,"$100,000 or more",4,US,married,1976,2,8
17da3040101f1ba5313b0ea2de093d24,female,"$75,000-$99,999",3,US,married,1986,1,1
11216f882389d573dc35d8dba27a759e,female,"$15,000-$24,999",2,US,single,1992,1,2
e9eef02867b652895799ade003015873,female,"$15,000-$24,999",1,US,single,1965,1,1
60f758876cbcb45be951a217f94ee781,female,"$40,000-$59,999",4,US,married,1980,3,20
1ab25e4d0bfe7e1a1b09eeacb3fba4d1,female,"$40,000-$59,999",3,CA,married,1986,2,7
66c7463dad54376b7e578a8177ab5e47,female,"$75,000-$99,999",5+,US,married,1982,1,4
d5e3511593ff15017fd7d5ba6c800414,female,"$40,000-$59,999",1,US,divorced,1985,1,1
d386b894aaf518f5e77db3fdd7a88e36,male,"$75,000-$99,999",1,US,single,1988,4,4
1c85ef84b9e96cc5c1ecda4e98e7f628,female,"$60,000-$74,999",4,TR,married,1977,9,12
471e33fdaff22d50fdc48927b112d5bb,female,"$40,000-$59,999",5+,US,single,1986,1,1
22acf72a710c00dfd68997adc1d508e8,female,"$75,000-$99,999",5+,US,married,1982,1,1
c13e5525b7b6a04fa6a19668201a735d,male,"$10,000-$14,999",4,IT,single,1992,1,1
8b2ac78df6d97fa6ace026c858d578ef,male,"$40,000-$59,999",1,US,single,1987,1,1
1895e3524eb8a4fcea0dbce13842b886,male,"Less than $10,000",3,VE,single,1996,1,2
